Load Factor,Seperate Chaining,Linear Probing,Double Hashing
0,73,71,77
0.001,66,67,65
0.002,69,70,66
0.003,81,68,58
0.004,61,64,107
0.005,68,78,66
0.006,62,65,85
0.007,69,71,66
0.008,102,197,88
0.009,94,109,88
0.01,71,93,77
0.011,74,77,101
0.012,69,125,67
0.013,70,72,87
0.014,79,67,63
0.015,67,69,65
0.016,67,67,64
0.017,160,71,81
0.018,75,63,59
0.019,98,67,63
0.02,86,71,66
0.021,64,97,61
0.022,69,70,67
0.023,63,93,61
0.024,71,86,85
0.025,86,69,96
0.026,58,65,56
0.027,80,70,66
0.028,101,73,74
0.029,68,69,94
0.03,68,69,66
0.031,92,69,65
0.032,65,67,63
0.033,66,69,65
0.034,67,68,64
0.035,73,81,60
0.036,70,71,120
0.037,67,67,63
0.038,61,63,181
0.039,68,69,66
0.04,69,71,67
0.041,71,66,62
0.042,68,70,66
0.043,75,74,70
0.044,98,118,106
0.045,106,78,76
0.046,71,72,68
0.047,70,72,68
0.048,70,81,68
0.049,69,70,66
0.05,71,73,77
0.051,70,72,125
0.052,72,80,70
0.053,124,74,101
0.054,72,72,69
0.055,72,73,69
0.056,114,132,70
0.057,71,89,68
0.058,72,145,72
0.059,60,61,82
0.06,74,89,71
0.061,89,74,71
0.062,73,73,86
0.063,74,76,73
0.064,90,75,70
0.065,72,73,113
0.066,71,72,69
0.067,70,73,106
0.068,91,88,72
0.069,70,73,70
0.07,66,68,65
0.071,67,68,65
0.072,95,69,67
0.073,69,70,67
0.074,95,72,90
0.075,70,76,68
0.076,69,70,67
0.077,70,71,68
0.078,69,70,67
0.079,68,69,67
0.08,69,70,67
0.081,68,69,66
0.082,68,69,66
0.083,69,70,67
0.084,70,87,73
0.085,71,71,68
0.086,75,71,68
0.087,71,71,68
0.088,69,71,68
0.089,71,71,68
0.09,162,72,74
0.091,234,72,70
0.092,79,74,71
0.093,72,99,70
0.094,70,70,68
0.095,72,72,69
0.096,73,73,70
0.097,72,98,70
0.098,72,72,69
0.099,79,74,71
0.1,98,72,75
0.101,73,71,69
0.102,71,72,75
0.103,70,71,68
0.104,71,71,69
0.105,72,73,69
0.106,91,92,72
0.107,93,72,92
0.108,64,64,67
0.109,188,72,71
0.11,80,74,88
0.111,74,73,71
0.112,81,73,69
0.113,69,86,65
0.114,71,69,82
0.115,79,70,68
0.116,75,93,71
0.117,74,84,71
0.118,73,73,70
0.119,73,78,70
0.12,75,72,70
0.121,74,79,70
0.122,74,73,71
0.123,81,74,71
0.124,75,74,71
0.125,89,74,71
0.126,75,73,71
0.127,73,72,70
0.128,75,73,72
0.129,73,73,91
0.13,73,72,108
0.131,79,72,69
0.132,76,73,72
0.133,81,96,105
0.134,73,73,71
0.135,74,93,103
0.136,74,73,71
0.137,77,71,69
0.138,73,72,70
0.139,71,70,68
0.14,72,70,69
0.141,68,68,66
0.142,126,111,106
0.143,111,78,75
0.144,74,74,71
0.145,68,84,65
0.146,75,73,71
0.147,67,65,63
0.148,73,78,70
0.149,76,74,72
0.15,75,74,72
0.151,76,72,70
0.152,74,71,69
0.153,75,72,71
0.154,75,72,101
0.155,74,73,71
0.156,72,70,69
0.157,74,78,70
0.158,76,74,72
0.159,75,73,103
0.16,72,69,67
0.161,76,74,73
0.162,76,74,72
0.163,81,73,98
0.164,76,72,72
0.165,75,72,71
0.166,73,71,70
0.167,74,74,89
0.168,73,72,70
0.169,73,71,70
0.17,73,70,69
0.171,73,71,70
0.172,77,78,71
0.173,75,73,72
0.174,80,72,71
0.175,124,72,71
0.176,76,72,71
0.177,80,71,70
0.178,72,70,68
0.179,74,70,70
0.18,71,68,68
0.181,75,72,71
0.182,80,71,70
0.183,74,72,82
0.184,76,75,86
0.185,65,63,62
0.186,73,71,77
0.187,75,71,71
0.188,75,74,72
0.189,75,73,72
0.19,75,72,79
0.191,79,77,78
0.192,111,74,73
0.193,76,72,97
0.194,77,73,80
0.195,76,72,73
0.196,81,72,70
0.197,76,73,72
0.198,77,101,80
0.199,74,73,71
0.2,76,73,97
0.201,77,95,74
0.202,97,74,79
0.203,97,74,75
0.204,73,86,70
0.205,73,70,69
0.206,73,71,76
0.207,73,70,71
0.208,79,78,78
0.209,77,74,86
0.21,78,76,77
0.211,75,98,72
0.212,76,115,125
0.213,83,93,74
0.214,107,75,74
0.215,84,74,73
0.216,75,74,73
0.217,78,81,75
0.218,77,74,73
0.219,75,72,71
0.22,75,72,71
0.221,75,79,72
0.222,76,73,73
0.223,75,70,72
0.224,74,72,70
0.225,76,100,88
0.226,74,74,73
0.227,81,77,69
0.228,109,70,70
0.229,73,69,69
0.23,71,69,69
0.231,71,69,68
0.232,70,69,68
0.233,71,69,69
0.234,72,70,70
0.235,70,68,69
0.236,71,70,76
0.237,71,69,69
0.238,71,69,68
0.239,72,80,69
0.24,71,69,69
0.241,72,70,76
0.242,93,87,89
0.243,99,90,89
0.244,67,64,63
0.245,62,60,59
0.246,67,65,69
0.247,106,72,72
0.248,77,72,74
0.249,78,74,75
0.25,78,74,81
0.251,80,73,90
0.252,100,72,72
0.253,84,66,79
0.254,76,77,72
0.255,74,71,70
0.256,91,77,72
0.257,75,72,72
0.258,76,78,74
0.259,73,71,70
0.26,113,90,77
0.261,99,72,73
0.262,84,74,74
0.263,98,74,75
0.264,72,70,69
0.265,65,63,62
0.266,70,68,69
0.267,130,114,97
0.268,77,73,72
0.269,75,73,72
0.27,75,73,74
0.271,79,76,75
0.272,78,78,75
0.273,72,91,69
0.274,73,70,70
0.275,78,74,85
0.276,94,79,77
0.277,79,74,89
0.278,78,74,90
0.279,80,75,75
0.28,79,75,74
0.281,81,76,76
0.282,79,75,76
0.283,80,81,90
0.284,80,74,75
0.285,75,72,72
0.286,79,76,77
0.287,105,80,116
0.288,80,76,76
0.289,80,76,75
0.29,82,90,78
0.291,89,76,75
0.292,80,93,75
0.293,79,89,76
0.294,80,75,76
0.295,81,82,77
0.296,76,73,73
0.297,95,76,121
0.298,78,76,76
0.299,134,92,133
0.3,142,96,78
0.301,81,108,96
0.302,114,112,79
0.303,90,85,67
0.304,103,76,92
0.305,95,71,71
0.306,83,79,80
0.307,82,77,96
0.308,81,112,78
0.309,81,77,82
0.31,131,76,93
0.311,76,72,73
0.312,78,85,77
0.313,80,75,77
0.314,81,76,78
0.315,83,77,79
0.316,85,75,77
0.317,80,76,77
0.318,84,74,77
0.319,71,69,68
0.32,79,89,79
0.321,63,62,62
0.322,96,75,95
0.323,82,77,78
0.324,74,71,72
0.325,82,78,79
0.326,80,76,77
0.327,79,75,76
0.328,77,74,75
0.329,91,75,76
0.33,80,80,77
0.331,80,76,77
