Load Factor,Seperate Chaining,Linear Probing,Double Hashing
0,75,62,63
0.01,75,67,66
0.02,75,67,66
0.03,73,69,68
0.04,71,66,65
0.05,71,68,65
0.06,72,68,66
0.07,76,73,73
0.08,78,72,70
0.09,73,68,66
0.1,78,72,70
0.11,78,71,67
0.12,89,79,79
0.13,73,70,66
0.14,75,70,71
0.15,77,70,69
0.16,75,69,67
0.17,77,77,70
0.18,80,74,71
0.19,81,74,71
0.2,79,73,71
0.21,76,69,67
0.22,79,72,72
0.23,84,75,81
0.24,79,71,70
0.25,58,55,53
0.26,94,63,57
0.27,86,78,80
0.28,86,75,73
0.29,81,76,78
0.3,84,72,76
0.31,83,70,75
0.32,75,70,70
0.33,59,57,55
0.34,66,59,58
0.35,91,82,87
0.36,80,79,79
0.37,82,77,77
0.38,80,76,79
0.39,83,80,80
0.4,87,75,80
0.41,88,81,81
0.42,61,64,62
0.43,100,92,94
0.44,86,86,91
0.45,85,82,87
0.46,89,87,91
0.47,86,86,89
0.48,81,77,79
0.49,84,85,84
0.5,89,84,88
0.51,85,89,88
0.52,85,86,86
0.53,84,87,87
0.54,87,89,89
0.55,93,91,91
0.56,89,89,94
0.57,96,90,92
0.58,93,94,96
0.59,91,93,95
0.6,89,94,99
0.61,88,99,93
0.62,96,98,101
0.63,91,114,102
0.64,92,107,99
0.65,96,115,99
0.66,89,116,97
0.67,91,106,98
0.68,84,107,96
0.69,90,105,105
0.7,92,122,103
0.71,90,124,113
0.72,91,114,109
0.73,101,128,111
0.74,97,117,106
0.75,94,110,104
0.76,100,133,108
0.77,101,140,122
0.78,93,133,108
0.79,105,133,114
0.8,100,134,115
0.81,98,150,127
0.82,92,155,122
0.83,91,161,126
0.84,96,153,133
0.85,92,168,130
0.86,93,170,136
0.87,100,145,128
0.88,93,172,142
0.89,91,149,139
0.9,92,240,233
0.91,93,233,240
0.92,94,421,350
