Load Factor,Seperate Chaining,Linear Probing,Double Hashing
0,4276,4547,4754
0.001,3882,4384,4512
0.002,4091,3379,3453
0.003,3882,4244,4311
0.004,4374,4637,5504
0.005,3720,3620,3901
0.006,3118,3285,3342
0.007,4140,4528,4760
0.008,4348,4491,4675
0.009,3472,3285,5315
0.01,3961,3960,4226
0.011,3271,3509,3901
0.012,4267,4447,4633
0.013,3901,3870,3984
0.014,3703,3932,4131
0.015,3901,4460,4317
0.016,3769,3969,4131
0.017,3844,4256,4328
0.018,3322,3355,3583
0.019,3998,4293,4256
0.02,3818,4023,3959
0.021,3667,3455,3667
0.022,4244,4439,4534
0.023,4742,4608,4282
0.024,2566,2604,2716
0.025,2530,2682,2906
0.026,2483,2939,2751
0.027,2672,3438,2878
0.028,2605,2904,2939
0.029,2761,2808,2921
0.03,2406,2533,2669
0.031,2382,2516,2676
0.032,2255,2477,2584
0.033,2471,2605,2795
0.034,2410,2676,2590
0.035,2449,3582,2705
0.036,2605,2795,2934
0.037,2294,2448,2572
0.038,2321,2521,2446
0.039,2294,2894,2857
0.04,3037,3417,4597
0.041,3531,3782,4351
0.042,2411,2609,2620
0.043,2539,2713,2742
0.044,2620,3477,3607
0.045,3651,3991,4119
0.046,3048,3298,3339
0.047,3708,4125,3972
0.048,3897,4027,3708
0.049,7820,4104,4140
0.05,2339,2470,2551
0.051,3354,3448,4225
0.052,3675,3829,3867
0.053,3208,3587,3586
0.054,3441,3803,3655
0.055,3378,5205,3587
0.056,4610,3566,3611
0.057,3097,3196,3377
0.058,3242,3416,3097
0.059,3678,4619,4275
0.06,3470,3672,3780
0.061,2975,3122,3276
0.062,2742,3032,3039
0.063,3721,3815,3484
0.064,3950,4471,4395
0.065,3305,3484,3486
0.066,2772,2790,2998
0.067,3731,3515,3883
0.068,3578,3731,3860
0.069,3612,3751,3997
0.07,3373,3653,3708
0.071,3528,3730,4051
0.072,4676,4504,7331
0.073,7155,9376,7331
0.074,4757,4803,4676
0.075,4827,4676,5081
0.076,6900,4277,5893
0.077,5779,3615,3499
0.078,3337,3337,4741
0.079,3123,3330,3406
0.08,3786,2881,3002
0.081,3256,3485,3596
0.082,3630,3786,3916
0.083,3659,3751,3993
0.084,3243,3533,3597
0.085,3751,4332,4276
0.086,4045,4544,3685
0.087,3262,3629,4025
0.088,3245,3685,3691
0.089,3096,3262,3388
0.09,2660,2757,2921
0.091,2727,2948,3560
0.092,2236,2373,2486
0.093,2175,2296,2388
0.094,2457,2646,2733
0.095,2516,2646,2749
0.096,4579,4251,4450
0.097,4548,4887,4918
0.098,4288,4627,4715
0.099,3280,3968,3784
0.1,3620,3784,5163
0.101,3764,3864,4006
0.102,3075,3378,3488
0.103,3613,3890,3947
0.104,3867,3977,3890
0.105,4591,4554,4883
0.106,4319,4298,4344
0.107,2898,3613,3126
0.108,4110,5631,5108
0.109,4205,4443,4549
0.11,4512,8516,4671
0.111,3722,3613,4104
0.112,4069,4410,4426
0.113,3544,3806,4018
0.114,4412,4585,4675
0.115,4347,4675,4855
0.116,3852,4161,4293
0.117,3784,4111,4365
0.118,3935,4198,4333
0.119,3906,4074,4111
0.12,3401,3799,3776
0.121,2904,3015,3136
0.122,4032,4160,4305
0.123,3048,3017,3389
0.124,3084,3392,3486
0.125,2693,2827,3017
0.126,3083,3285,3342
0.127,3775,3916,4095
0.128,2839,3070,3068
0.129,2813,3068,3089
0.13,2624,2857,2979
0.131,2886,3112,3178
0.132,3256,3454,3656
0.133,3440,3598,3733
0.134,2888,3124,3244
0.135,3091,3244,3454
0.136,3708,3932,4092
0.137,3335,3494,3651
0.138,3386,3651,3730
0.139,3069,3248,3312
0.14,3545,3653,3914
0.141,3153,3370,3515
0.142,3678,3917,4016
0.143,2953,3370,3226
0.144,3508,3623,3760
0.145,3672,3866,4067
0.146,3190,3393,3612
0.147,3120,5165,3455
0.148,3866,4126,4416
0.149,3182,3328,3452
0.15,3355,3502,3640
0.151,3048,3234,3360
0.152,3866,3493,3609
0.153,3645,3680,3885
0.154,3346,3471,3723
0.155,3824,3997,4130
0.156,4126,4112,5667
0.157,3597,3572,3879
0.158,3125,3481,3512
0.159,2308,2446,2528
0.16,2423,2515,2671
0.161,3184,3594,3498
0.162,3184,3451,3528
0.163,2803,3076,3127
0.164,2783,2890,2994
0.165,3074,3278,3362
0.166,3360,3543,3664
0.167,2457,2580,2423
0.168,2553,2774,2801
0.169,2671,2839,2940
0.17,3217,3423,3496
0.171,3152,3373,3516
0.172,3590,3881,3423
0.173,4222,4569,4652
0.174,3529,3732,3866
0.175,2534,2685,2743
0.176,2438,2743,2675
0.177,3234,3306,3290
0.178,2606,2806,2925
0.179,3514,3613,3719
0.18,3385,3364,3527
0.181,3135,3395,3450
0.182,3070,3450,3325
0.183,3274,3295,3250
0.184,3387,3761,3690
0.185,3114,3352,3330
0.186,3352,3812,3957
0.187,3540,3822,4006
0.188,3443,3692,3841
0.189,2806,2870,2934
0.19,3174,3359,3537
0.191,3587,3352,3993
0.192,3709,4090,4241
0.193,2893,3060,3260
0.194,2719,2761,2912
0.195,2755,2928,3046
0.196,3448,3807,3893
0.197,3587,3852,3914
0.198,4116,4340,5544
0.199,3911,3811,4022
0.2,3400,3628,3811
0.201,4157,3696,3952
0.202,3946,4235,4522
0.203,3027,3120,3352
0.204,4157,4004,4151
0.205,4473,4136,4472
0.206,4138,4259,4364
0.207,3895,7844,4049
0.208,4157,4182,4288
0.209,3801,4161,4374
0.21,3250,3398,3551
0.211,3485,3799,3836
0.212,3921,4126,3799
0.213,3975,4112,4201
0.214,3513,3847,3903
0.215,4702,4425,4346
0.216,4528,4101,4425
0.217,4784,4977,5062
0.218,3835,4046,4270
0.219,4036,3867,3940
0.22,3992,4425,4278
0.221,3846,3947,4072
0.222,3788,3966,4164
0.223,3347,3485,3618
0.224,4183,4477,4425
0.225,3023,3229,3289
0.226,3080,3373,3514
0.227,3917,3904,4062
0.228,3615,3877,4060
0.229,3595,3652,3897
0.23,3652,3950,4190
0.231,3812,4026,4167
0.232,3657,3715,3939
0.233,3462,3593,3715
0.234,3642,3999,4100
0.235,3435,3623,3687
0.236,3637,3885,3964
0.237,2954,3207,3230
0.238,3207,3075,3231
0.239,3496,7811,3776
0.24,3780,3932,4138
0.241,3840,4318,4271
0.242,3830,4177,4271
0.243,3433,3614,3624
0.244,3888,4298,4282
0.245,3893,4124,4446
0.246,4124,4102,4165
0.247,3447,3690,3822
0.248,3232,3523,3509
0.249,3587,3783,4055
0.25,3905,4372,3822
0.251,3708,3894,4022
0.252,4016,4031,4198
0.253,3988,4077,4365
0.254,3831,4040,4203
0.255,3932,4336,4040
0.256,3888,4055,4593
0.257,3450,3629,3714
0.258,2503,2674,2750
0.259,4065,3921,3959
0.26,4065,4277,4325
0.261,3837,4139,4169
0.262,3895,4043,4146
0.263,3598,3734,4043
0.264,3455,3640,3666
0.265,2794,2995,3042
0.266,2716,2932,2970
0.267,3235,3425,3466
0.268,3725,4043,4064
0.269,3883,4221,4296
0.27,4165,4243,4609
0.271,3675,3937,4063
0.272,3729,4006,4208
0.273,3756,4398,4078
0.274,3875,4208,4483
0.275,3983,4290,4341
0.276,2476,2476,2710
0.277,3377,2965,3017
0.278,3141,3360,3316
0.279,3936,4317,4217
0.28,3489,3671,3772
0.281,4155,4155,4282
0.282,3917,4140,4296
0.283,3231,3459,3546
0.284,2698,2893,2944
0.285,3654,4101,3459
0.286,4056,8370,8384
0.287,5084,4086,5792
0.288,3217,3305,3314
0.289,3263,3263,3377
0.29,3756,2868,2954
0.291,3061,3305,3342
0.292,2398,2823,2674
0.293,2354,2478,2597
0.294,3015,3144,3175
0.295,3484,3500,3500
0.296,3911,4087,4181
0.297,3439,3632,3732
0.298,3342,3479,3636
0.299,3445,3633,3627
0.3,4061,8818,4759
0.301,4027,4010,4434
0.302,3551,3627,3701
0.303,3791,3791,3970
0.304,3973,4087,4324
0.305,4031,4498,4701
0.306,3824,4210,4275
0.307,3868,4234,4234
0.308,9454,4751,4751
0.309,3665,4111,4008
0.31,3362,3632,3795
0.311,3850,3850,3932
0.312,4369,4791,4624
0.313,4243,4628,4632
0.314,4475,6557,4521
0.315,4204,4519,4519
0.316,4769,4488,4729
0.317,4019,4285,6006
0.318,3619,4443,3983
0.319,2811,2975,3069
0.32,4409,4409,4312
0.321,3618,3843,3976
0.322,4317,4508,4695
0.323,3742,3878,3878
0.324,5034,4617,4900
0.325,4822,4270,4393
0.326,4070,4335,4254
0.327,4011,4037,4060
0.328,3824,4447,4346
0.329,4036,5808,4676
0.33,4013,4060,4167
0.331,4033,4176,4176
0.332,4294,4792,4491
0.333,4342,4590,4981
0.334,3892,4473,4310
0.335,3920,3988,4310
0.336,3232,3807,4942
0.337,2956,3170,3625
0.338,3871,4319,4323
0.339,3904,4118,4118
0.34,3853,7833,4331
0.341,4305,4442,4496
0.342,3916,4362,4212
0.343,3043,3192,3301
0.344,3192,4481,4318
0.345,4019,4401,4461
0.346,4144,4346,4362
0.347,3266,3414,3674
0.348,3783,3266,4444
0.349,3783,4327,4922
0.35,3147,3064,3243
0.351,3877,7747,4275
0.352,4233,4275,4741
0.353,4502,4759,4803
0.354,4512,4778,4736
0.355,4153,4736,4368
0.356,4125,4093,4338
0.357,4882,4451,4381
0.358,4349,4583,4598
0.359,4583,4407,4291
0.36,4246,4267,4621
0.361,3984,4162,4424
0.362,2659,2885,3003
