Load Factor,Seperate Chaining,Linear Probing,Double Hashing
0,42,49,60
0.01,35,55,75
0.02,41,57,63
0.03,40,54,61
0.04,41,59,61
0.05,41,56,61
0.06,42,54,65
0.07,41,53,64
0.08,39,54,62
0.09,42,54,61
0.1,42,52,64
0.11,42,54,67
0.12,41,54,62
0.13,41,57,62
0.14,40,57,61
0.15,37,58,58
0.16,37,53,58
0.17,37,58,59
0.18,37,54,60
0.19,91,58,64
0.2,36,55,58
0.21,36,56,60
0.22,36,56,60
0.23,36,57,61
0.24,37,59,63
0.25,36,61,61
0.26,37,63,59
0.27,37,64,65
0.28,37,61,62
0.29,33,63,61
0.3,37,61,67
0.31,36,61,65
0.32,35,64,64
0.33,36,70,67
0.34,37,62,64
0.35,36,67,67
0.36,37,68,73
0.37,37,68,71
0.38,37,64,64
0.39,37,71,70
0.4,36,74,79
0.41,37,70,76
0.42,36,68,74
0.43,36,77,70
0.44,36,79,74
0.45,36,70,76
0.46,35,73,79
0.47,37,71,78
0.48,36,74,78
0.49,36,80,76
0.5,37,78,78
0.51,36,80,70
0.52,36,82,77
0.53,36,80,78
0.54,37,71,92
0.55,37,88,84
0.56,36,82,85
0.57,36,82,83
0.58,37,85,84
0.59,37,78,88
0.6,37,81,87
0.61,37,88,89
0.62,36,81,92
0.63,36,88,88
0.64,36,96,88
0.65,37,87,95
0.66,36,88,93
0.67,36,96,98
0.68,36,105,93
0.69,36,106,102
0.7,35,106,105
0.71,36,101,108
0.72,37,102,99
0.73,35,112,111
0.74,36,113,111
0.75,37,109,124
0.76,35,101,120
0.77,36,106,116
0.78,37,105,124
0.79,35,108,135
0.8,36,124,140
0.81,36,115,132
0.82,37,121,134
0.83,37,116,139
0.84,37,130,150
0.85,37,132,144
0.86,36,150,167
0.87,37,136,166
0.88,36,156,160
0.89,37,149,194
0.9,37,155,188
0.91,35,168,197
0.92,34,177,234
0.93,33,185,225
0.94,34,208,236
0.95,34,239,263
0.96,34,243,284
0.97,36,295,314
