Insert Time
Load Factor | Seperate Chaining | Linear Probing | Double Hashing
0 | 33700 | 2800 | 2200
0.01 | 5700 | 2500 | 2300
0.02 | 5100 | 2400 | 2200
0.03 | 4900 | 2400 | 2400
0.04 | 4600 | 2300 | 2300
0.05 | 4500 | 2400 | 2400
0.06 | 4900 | 2300 | 2100
0.07 | 10500 | 5800 | 3900
0.08 | 6500 | 2600 | 2500
0.09 | 4900 | 2400 | 2300
0.1 | 4800 | 2500 | 2400
0.11 | 4800 | 2300 | 2300
0.12 | 6900 | 2600 | 2500
0.13 | 10500 | 2600 | 2300
0.14 | 14400 | 2500 | 2100
0.15 | 4400 | 2500 | 2300
0.16 | 4500 | 2400 | 2400
0.17 | 4400 | 2300 | 2200
0.18 | 4600 | 2100 | 2200
0.19 | 4500 | 2100 | 2100
0.2 | 4400 | 2100 | 2200
0.21 | 4500 | 2100 | 2200
0.22 | 4400 | 2100 | 2300
0.23 | 5500 | 2300 | 2200
0.24 | 7400 | 2500 | 2400
0.25 | 4700 | 2100 | 2200
0.26 | 4500 | 2100 | 2100
0.27 | 6600 | 3500 | 3100
0.28 | 5700 | 2500 | 2400
0.29 | 4600 | 2200 | 2200
0.3 | 4700 | 2100 | 2200
0.31 | 4500 | 2000 | 2100
0.32 | 4400 | 2100 | 2100
0.33 | 4600 | 2600 | 2900
0.34 | 4700 | 2500 | 2400
0.35 | 4400 | 2200 | 2300
0.36 | 7000 | 2600 | 2400
0.37 | 6000 | 2300 | 2400
0.38 | 7400 | 3200 | 2700
0.39 | 9600 | 3000 | 2600
0.4 | 11500 | 2700 | 2400
0.41 | 8100 | 2900 | 2600
0.42 | 5500 | 2600 | 2600
0.43 | 5000 | 2500 | 2200
0.44 | 18800 | 2700 | 2900
0.45 | 5000 | 2300 | 2200
0.46 | 5200 | 2200 | 2500
0.47 | 5200 | 2400 | 2400
0.48 | 5100 | 2500 | 2400
0.49 | 4700 | 2500 | 2400
0.5 | 6100 | 2800 | 2800
0.51 | 5700 | 2500 | 2400
0.52 | 5300 | 2600 | 2600
0.53 | 5700 | 2700 | 2600
0.54 | 7400 | 2700 | 2800
0.55 | 5600 | 2500 | 2400
0.56 | 6700 | 2800 | 2500
0.57 | 9800 | 2700 | 2700
0.58 | 6100 | 2500 | 2400
0.59 | 6000 | 2700 | 2500
0.6 | 7200 | 2600 | 2600
0.61 | 9200 | 2700 | 2600
0.62 | 6200 | 2400 | 3300
0.63 | 6100 | 2600 | 2200
0.64 | 10500 | 2800 | 2700
0.65 | 7600 | 3100 | 2600
0.66 | 5300 | 2600 | 2400
0.67 | 5400 | 2500 | 3100
0.68 | 5700 | 2800 | 2600
0.69 | 5000 | 2500 | 2500
0.7 | 6900 | 2600 | 3200
0.71 | 5100 | 2500 | 2400
0.72 | 6600 | 2600 | 3000
0.73 | 5600 | 2500 | 2500
